Society,Bibtext,Reference,Full_reference,D-PLACE,notes
C68_Semang,skeatandblagden1906,Skeat & Blagden 1906,"Skeat, W. W. & Blagden, C. O. (1906). Pagan races of the Malay Peninsula. London: Macmillan.",https://d-place.org/sources/skeatandblagden1906,
C68_Semang,schebesta1927,Schebesta 1940,"Schebesta, P. (1940). Among the Forest Dwarfs of Malaya. London: Hutchinson & Co.",https://d-place.org/sources/schebesta1927,
C69_Siriono,holmberg1950,Holmberg 1969,"Holmberg, A. R. (1969). Nomads of the Long Bow: The Siriono of Eastern Bolivia. Garden City, NY: The Natural History Press.",https://d-place.org/sources/holmberg1950 ,
C69_Siriono,ryden1941,Rydén 1941,"Rydén, Stig (1941). A Study of the Siriono Indians. Göteborg: Elanders Boktryckeri Aktiebolag.",,
C70_Ona,cooper1946b,Cooper 1946,"Cooper, J. M. (1946). The Ona. In J. H. Steward (Ed.), Handbook of South American Indians: Marginal Tribes (pp. 105-125). Washington: Smithsonian Institution.",https://d-place.org/sources/cooper1946b,
C70_Ona,lothrop1928,Lothrop 1928,"Lothrop, S. K. (1928). The Indians of Tierra del Fuego. New York: Museum of the American Indian, Heye Foundation.",https://d-place.org/sources/lothrop1928 ,
C70_Ona,bridges1949,Bridges 1950,"Bridges, E. L. (1950). Uttermost Part of the Earth. New York: E. P. Dutton.",https://d-place.org/sources/bridges1949,different year
C70_Ona,lowie1933,Lowie 1933,"Lowie, R. H. 1933. Selk'nam Kinship Terms. American Anthropologist 35(3), 546-548.",,
C70_Ona,hatcher1901,Hatcher 1901,"Hatcher, J. B. 1901. Indian Tribes of Southern Patagonia. National Geographic Magazine 12, 12-28.",,
C70_Ona,furlong1917a,Furlong 1917a,"Furlong, C. W. 1917a. Tribal Distribution and Settlements of the Fuegians, Comprising Nomenclature, Etymology, Philology, and Populations. Geographical Review 3(3), 169-187",,
C70_Ona,furlong1917b,Furlong 1917b,"Furlong. C. W. 1917b. The Haush and Onas: Primitive tribes of Tierra del Fuego. Proceedings of 19th International Conference of Americanists, Dec. 1915. Washington D.C. pp. 432-444",,
C70_Ona,furlong1933,Furlong 1933,"Furlong, C. W. 1933. Exploration in Tierra del Fuego and the Fuegian Archipielago. Geographical Journal  81 (3), 211-226.",,
C71_Tasmanians,roth1890,Roth 1890,"Roth, H. L. (1890). The Aborigines of Tasmania. London: Kegan Paul, Trench, Trubner & Co.",https://d-place.org/sources/roth1890,
C71_Tasmanians,bonwick1870,Bonwick 1870,"Bonwick, J. (1870). Daily Life and Origin of the Tasmanians. London: Sampson Low, Son & Marston",,
C71_Tasmanians,murdock1935,Murdock 1935,"Murdock, G. P. (1935). Our Primitive Contemporaries. New York: Macmillan.",,https://d-place.org/sources/murdock1934b the same as for Semang
C72_Alacaluf,bird1946,Bird 1946,"Bird, J. (1946). The Alacaluf. In J. H. Steward (Ed.), Handbook of South American Indians: Marginal Tribes (pp. 55-80). Washington, D.C.: Smithsonian Institution.",https://d-place.org/sources/bird1946,
C72_Alacaluf,emperaire1955,Emperaire 1955,"Emperaire, J. (1955). Les nomades de la mer. Paris: Gallimard.",,
C73_Zulu,tyler1891,Tyler 1891,"Tyler, J. 1891. Forty Years Among The Zulus. Boston: Congregational Sunday-school and Publishing Society.",,
C73_Zulu,gardiner1836,Gardiner 1836,"Gardiner, A. F. 1836. Narrative of a Journey to the Zoolu Country. London: W. Crofts.",,
C73_Zulu,krige1936,Krige 1936,"Krige, E. J. 1936. The Social System of the Zulus. London: Longmans.",https://d-place.org/sources/krige1936,
C73_Zulu,gibson1903,Gibson 1903,"Gibson, J. Y. 1903. The story of the Zulus. Pietermaritzburg: P. Davis & Sons.",,
C73_Zulu,otterbein1967,Otterbein 1967,"Otterbein, K. F. 1967. The Evolution of Zulu Warfare. In P. Bohannan (Ed.), Law And Warfare (pp. 351-358). Garden City: The Natural History Press.",,
C73_Zulu,farrer1879,Farrer 1879,"Farrer, J. A. 1879. Zululand And The Zulus. London: Kerby & Endean.",,
C73_Zulu,gluckman1940,Gluckman 1940,"Gluckman, M. 1940. The Kingdom of the Zulu in South Africa. In Fortes and Evans-Pritchard (eds.), African Political Systems, 25-55.",https://d-place.org/sources/gluckman1940,
C73_Zulu,bryant1965,Bryant 1965,"Bryant, A. T. 1965. Olden Times in Zululand and Natal. Capetown: C. Struik.",,
C73_Zulu,leslie1875,Leslie 1875,"Leslie, D. 1875. Among the Zulus and Amatongas. Edinburgh: Edmonton & Douglas.",,
C73_Zulu,callaway1884,Callaway 1884,"Callaway, H. 1884. The religious system of the Amazulu.",,
C73_Zulu,robertson1875,Robertson 1875,"Robertson, H. 1875. Mission Life Among the Zulu-Kafirs.",,
C75_Klallam,gunthere1927,Gunther 1927,"Gunther, E. 1927. Klallam Ethnography. University of Washington Publications in Anthropology 1(5), 171-314. Seattle: University of Washington Press.",https://d-place.org/sources/gunthere1927,
C75_Klallam,vancouver1798,Vancouver 1798,"Vancouver, G. 1798. A voyage of discovery to the north Pacific Ocean, and round the world. Volume 2. London: G.G. and J. Robinson.",,
C75_Klallam,eells1887b,Eells 1887b,"Eells, M. 1887. The Twana, Chemakum and Clallum Indians of Washington. Ann. Rep. Smiths. Inst. 1886-87. 605-681.",https://d-place.org/sources/eells1887b,
C75_Klallam,eells1879,Eells 1879,"Eells, M. 1879. The religion of the Clallam and Twana Indians. The American Antiquarian 2(1), 8-14.",,
C75_Klallam,eells1888,Eells 1888,"Eells, M. 1888. Indians of Puget Sound. Sixth Paper: Measuring and Valuing. The American Antiquarian 10(3), 174-178.",,
C75_Klallam,curtis1912,Curtis 1913,"Curtis, E. S. 1913. The Coast Salish Tribes, Chimakum, Quilliute, and Willapa (The North American Indian 9). Norwood: The Plimpton Press.",https://d-place.org/sources/curtis1912,
C75_Klallam,martinetal1947,Martin et al. 1947,"Martin, P. S., and Quimby, G. I., and Collier, D. 1947. Indians before Columbus. Chicago: University of Chicago Press.",,
C76_Seri,kroeber1931,Kroeber 1931,"Kroeber, A. L. 1931. The Seri. (Southwest Museum Papers 6) Los Angeles: Southwest Museum.",https://d-place.org/sources/kroeber1931,
C76_Seri,mcgee1898,McGee 1898,"McGee, W. J. 1898. The Seri Indians. In Seventeenth Annual Report of the Bureau of American Ethnology to the Secretary of the Smithsonian Institution, 1895-1896, 1-344. Washington, D.C.: Smithsonian Institution.",https://d-place.org/sources/mcgee1898,
C76_Seri,beals1932,Beals 1932,"Beals, R. L. 1932. The Comparative Ethnology of Northern Mexico Before 1750. (Ibero-Americana 2). Berkeley: University of California Press.",,
C76_Seri,davisanddawson1945,Davis & Dawson 1945,"Davis, E. H., and Dawson, E. Y. 1945. The Savage Seris of Sonora. The Scientific Monthly 60(3-4), 193–202,261-268.",,
C76_Seri,coolidgeandcoolidge1939,Coolidge & Coolidge 1939,"Coolidge, D., and Coolidge, M. R. 1939. The Last of the Seris. New York: E. P. Dutton & Co.",,
C77_Agta,headlandperscomm1986,Headland 1986,"Headland, T. N. (1986). pers. comm.",,
C78_Chipewyan,franklin1824,Franklin 1824,"Franklin, J. 1824. Narrative of a journey to the shores of the Polar sea, in the years 1819-20-21-22. London: J. Murray.",,
C78_Chipewyan,mackenzie1801,Mackenzie 1801,"Mackenzie, A. 1801. Voyages from Montreal, on the River St. Laurence, through the Continent of North America, to the Frozen and Pacific Oceans. London: T. Cadell.",,
C78_Chipewyan,birketsmith1930,Birket-Smith 1930,"Birket-Smith, K. 1930. Contributions to Chipewyan Ethnology. (Report of the Fifth Thule Expedition, 1921-24, 6(3)). Copenhagen: Gyldendalske Boghandel.",https://d-place.org/sources/birketsmith1930,
C78_Chipewyan,vanstone1963,VanStone 1963,"VanStone, J. W. 1963. The Snowdrift Chipewyan. Ottawa: Northern Co-ordination and Research Centre.",,
C78_Chipewyan,tyrrell1934,Tyrrell 1934,"Tyrrell, J. B. 1934. Journals of Samuel Hearne and Philip Turnor. Toronto: The Champlain Society.",,
C78_Chipewyan,hearne1795,Hearne 1795,"Hearne, S. 1795. A journey from Prince of Wales's fort in Hudson's Bay to the Northern Ocean. London: A. Strahan and T. Cadell.",,
C78_Chipewyan,curtis1928,Curtis 1928,"Curtis, E. S. 1928. The Chipewyan, Cree, and Sarsi (The North American Indian 18). Norwood: The Plimpton Press.",,
